num_procs,Network,Run 1,Run 2,Average,Parallel Speedup,Parallel Efficiency
1,Normal Platform,1.03,1.017,1.0235,1,1
4,Normal Platform,0.261,0.261,0.261,3.9214559387,0.9803639847
16,Normal Platform,0.078,0.078,0.078,13.1217948718,0.8201121795
64,Normal Platform,0.044,0.044,0.044,23.2613636364,0.3634588068
100,Normal Platform,0.134,0.134,0.134,7.6380597015,0.076380597
400,Normal Platform,0.096,0.096,0.096,10.6614583333,0.0266536458
1600,Normal Platform,0.092,0.092,0.092,11.125,0.006953125
,,,,,,
1,Optimal Platform,1.035,1.032,1.0335,1,1
4,Optimal Platform,0.253,0.253,0.253,4.0849802372,1.0212450593
16,Optimal Platform,0.063,0.065,0.064,16.1484375,1.0092773438
64,Optimal Platform,0.016,0.016,0.016,64.59375,1.0092773438
100,Optimal Platform,0.011,0.012,0.0115,89.8695652174,0.8986956522
400,Optimal Platform,0.002,0.002,0.002,516.75,1.291875
1600,Optimal Platform,0.001,0.001,0.001,1033.5,0.6459375
